,Ticker,sector,ROE_2022,ROE_2023,ROE_2024,EBIT Margin_2022,EBIT Margin_2023,EBIT Margin_2024,ROA_2022,ROA_2023,ROA_2024,ROIC_2022,ROIC_2023,ROIC_2024
1628,GCR.AX,Basic Materials,-0.17972479640550407,-0.19156388000609106,-0.2225133339571442,,,,-0.09510718133521566,-0.0921274258513365,-0.09078761501164433,-0.09677907152578255,-0.09292705447830102,-0.09271678103555833
1472,RB6.AX,Basic Materials,,-0.4743140416859007,-2.421314324247246,,,,,-0.44971984628267464,-2.2384371399584033,,-0.4742228359753863,-2.421314324247246
1083,MPK.AX,Basic Materials,-0.21859145755894133,-0.27047422673283134,-0.66522475282373,,,-160.7732311937955,-0.18861915861941883,-0.2467363662051427,-0.6324705788207521,-0.21859145755894133,-0.27047422673283134,-0.66522475282373
1294,GDM.AX,Basic Materials,,,-0.8956429748926026,,,-24.876500139547865,,,-0.555446237866845,,,-0.6699843047772728
1473,GED.AX,Basic Materials,-0.12276045301851533,-0.0531388008523325,-0.07859291958534967,,,,-0.12461540463615187,-0.054292280097685754,-0.08015718103884495,-0.12276045301851533,-0.0531388008523325,-0.07859291958534967
831,GEN.AX,Basic Materials,-0.20337519523561606,-0.4204077725656163,,,,,-0.16836616697835674,-0.2633988365346672,,-0.1789357256974315,-0.28935030140624624,
1596,RBX.AX,Basic Materials,-1.5487004458472848,-0.6250035328498511,-0.6269750065405698,,,,-0.5846219137862004,-0.6066970200206161,-0.6163827029321236,-0.6937476947382941,-0.6222631567951498,-0.6269750065405698
1562,MOM.AX,Basic Materials,-0.05430346051464064,-0.7392724025523811,-0.17127511137988044,-0.027594596324988795,,,-0.043764302059496565,-0.6556447519351974,-0.16779941775497517,-0.05430346051464064,-0.7392724025523811,-0.17127511137988044
1362,MQR.AX,Basic Materials,-0.24397220411082252,-0.09216768926077568,-0.427484995602787,,,,-0.2323130300101321,-0.08860184588717042,-0.41615515260729685,-0.24397220411082252,-0.09216768926077568,-0.427484995602787
1345,FTZ.AX,Basic Materials,-0.32344021751390883,-0.36819840843861007,,-1.1951480639798562,-1.4538295673548915,,-0.294488180779787,-0.32288472387539185,,-0.32344021751390883,-0.35911706643010666,
1026,FTL.AX,Basic Materials,,-0.058695711973151425,-0.15649535621933688,,,,,-0.05680575975106018,-0.1471766971845409,,-0.058695711973151425,-0.15649535621933688
1246,MRQ.AX,Basic Materials,-0.11737816546186672,-0.12878197076131304,-0.12337179098131051,,,,-0.114200808969822,-0.1262343203722754,-0.12088002181124526,-0.11737816546186672,-0.12878197076131304,-0.12337179098131051
305,FFM.AX,Basic Materials,-0.06611678079425176,-0.05986502082370906,-0.18425934845549669,,,,-0.04346386920914676,-0.04102532757344574,-0.13406577437085493,-0.06611678079425176,-0.05986502082370906,-0.18425934845549669
1364,FG1.AX,Basic Materials,-0.5656665336320775,-1.3324406038402792,-1.654273364573293,,,-1968.971130713713,-0.5079067763309654,-1.1294218226909913,-1.2921849041693703,-0.5656665336320775,-1.3324406038402792,-1.654273364573293
1373,FGH.AX,Basic Materials,-1.0766051863621915,-1.1175793425911746,-2.0127909377796227,,-496.9925278622087,,-0.5072702268863111,-0.6935048219773104,-1.3140912861669254,-0.6866202812208947,-0.9351271937443423,-1.9766802348875336
885,FGR.AX,Basic Materials,-0.5818106109079423,-0.7261111940339985,-1.03395969063075,-6.531929718811651,-2.3829878888056575,-10.096708759905935,-0.31946267480439583,-0.39966698042669646,-0.5928525232465583,-0.3543685295352368,-0.4391683640597528,-0.666557438728077
1498,SMM.AX,Basic Materials,-0.14967914111912128,-0.39302381045910295,-2.9869723707826004,,,,-0.11433670530731178,-0.2748498958678049,-1.4492637314316341,-0.14967914111912128,-0.39302381045910295,-2.9869723707826004
1107,FHS.AX,Basic Materials,-0.07366886392519313,-0.8977196347020815,-0.1339330146383207,,-128.27217279688398,-2.1135471455133445,-0.07217756912303995,-0.8340682787063022,-0.11922689840987945,-0.07356158632265926,-0.8579817087057489,-0.12546597641609156
1630,RAS.AX,Basic Materials,-0.30978684986340604,-0.47117019356007617,-0.6259063923951864,,,,-0.30482923843036935,-0.4491415980646625,-0.5869441704127933,-0.30978684986340604,-0.47117019356007617,-0.6259063923951864
1560,FIN.AX,Basic Materials,-0.778335909125194,-0.408599071119697,-0.8574794278461099,,,,-0.753739542765463,-0.40306832269600057,-0.7789410632698447,-0.778335909125194,-0.408599071119697,-0.8574794278461099
1109,FL1.AX,Basic Materials,-0.2644153981183881,-0.4708210906564195,-2.2951893973003923,,,,-0.21321492548967624,-0.4349206710573536,-2.0660522219702653,-0.26117356161677413,-0.4708210906564195,-2.2951893973003923
322,SMI.AX,Basic Materials,-0.057735073397163404,-0.2358478636624304,-0.04841260761547629,,,,-0.05612436516700116,-0.22943180069764976,-0.04712592311955843,-0.057735073397163404,-0.2358478636624304,-0.04841260761547629
1659,SLZ.AX,Basic Materials,-0.1398952865036072,-0.20074074632315914,-0.08975322317094714,,,,-0.13672977609524758,-0.1974826610482414,-0.08795006465234655,-0.1398952865036072,-0.20074074632315914,-0.08975322317094714
12,FMG.AX,Basic Materials,0.3534679443303683,0.27164128404008453,0.30276231320423,0.5123613678373382,0.4131704410011919,0.4623667789496935,0.21836569294196412,0.16956160655911537,0.1950307148495144,0.2826196014046616,0.21201475884315463,0.24331556526020595
